driver,reads_as,swept_from,swept_to,at_half_the_paths_profitable,at_nine_in_ten_profitable,at_twice_the_plan_trough,at_thrice_the_plan_trough,need_span_cr,profitable_span
add_rate_0,referral and growth rate at month 1,0.11754601983123975,0.27841080929871753,0.13349382223534315,0.16677716088160438,0.1586385091694255,0.12523798667992075,43.96456775099034,0.7873333333333333
gna0,"G&A at 100 users, Rs a month",408172.457902509,3247403.4338712227,,1084179.8331331532,2272959.744799218,,31.629966677195018,0.09050000000000002
eng0,engineers at 100 users,3.448973888669571,7.434006311587927,,5.032578191060634,,,17.620504457947717,0.09616666666666673
price_ind,"India price, $ a month",41.11672409752891,68.30467652291978,,55.08144511602512,,,17.558261860916254,0.09350000000000003
seed_users,users at month 1,107.91865842362249,365.2386009928134,,222.48729951990518,,,13.572206287522569,0.15116666666666667
eng_ctc,"engineer cost to company, Rs a year",2833222.142288071,4914593.302904301,,3640837.5145063484,,,13.177744849887652,0.07483333333333331
eng_exp,engineering scaling exponent,0.19932413324543283,0.35950424008238,,0.268876021740423,,,12.15172365237791,0.09383333333333332
churn_0,churn at month 1,0.06693227800200598,0.1305943222470955,,0.0927045544364527,,,10.395228572090225,0.1183333333333334
tasks_day,tasks a user runs a day,0.5798213112316989,1.2142891309412978,,0.761097831148725,,,8.36517795475109,0.03300000000000003
add_decay,monthly decay of that rate,0.9862791963996372,0.9958862548606612,,0.9912813678163734,,,7.672937505988365,0.18166666666666664
cap_ind,"India ceiling, users",12421.780105321002,493807.6172271415,,72469.38713669633,,,6.326963486540755,0.09016666666666662
churn_halflife,months to half the churn gap,9.396634164752747,22.192334461080236,,14.929909968570033,,,5.854606370763538,0.10116666666666663
auto_ceil,"automation ceiling, share of tasks",0.703706121680451,0.8951780450693936,,,,,1.5110946195330612,0.008666666666666711
assist_floor,"assisted task floor, minutes",1.1531996450876327,2.4257734894800995,,,,,0.44583043542731104,0.0025000000000000577
