case,need_p50_cr,need_p75_cr,need_p90_cr,need_p95_cr,share_profitable_by_m60,median_crossover_month
"independent, as published",24.501623941795344,39.6325391621533,57.77039597546249,70.03007186203435,0.8904,40.0
correlated,24.527236519590105,39.42304905375003,58.133223628694545,70.67372129696804,0.88985,41.0
